year,college,branch,category,round,closing_rank,website
2023,JSSATE Bangalore,ISE,1,3,38413,https://jssateb.ac.in/
2023,KLE Tech Hubli,ISE,GM,2,50867,https://kletech.ac.in/
2022,CMRIT,EEE,GM,1,46930,https://cmrit.ac.in/
2023,AIT Chikmagalur,CSE,2B,2,100613,https://aitchikmagalur.edu.in/
2023,Vidyavardhaka College,ISE,2A,1,70039,https://vvc.ac.in/
2024,Dayananda Sagar Academy,ECE,GM,2,105578,https://dsacademy.edu.in/
2022,Vidyavardhaka College,ISE,3B,3,83592,https://vvc.ac.in/
2022,MIT Manipal,ISE,2B,2,11090,https://manipal.edu/
2023,CMRIT,ISE,3A,2,55046,https://cmrit.ac.in/
2022,AIT Chikmagalur,EEE,3A,1,112050,https://aitchikmagalur.edu.in/
2023,Vidya Jyothi Institute,CSE,3B,1,108126,https://vji.ac.in/
2023,Sir MVIT,ISE,ST,1,53050,https://sir-mvit.ac.in/
2024,Canara Engineering College,ECE,3A,3,83379,https://canaraengineering.in/
2021,BIT Bangalore,ISE,SC,1,28495,https://bit-bangalore.edu.in/
2023,Sri Venkateshwara College of Engineering,CSE,2B,1,84140,https://svce.edu.in/
2022,MSRIT,ISE,ST,1,10711,https://www.msrit.edu/
2022,Adichunchanagiri Institute,ISE,3B,1,98284,https://acoe.edu.in/
2021,AIT Chikmagalur,EEE,3A,1,108043,https://aitchikmagalur.edu.in/
2022,PESIT South,EEE,2B,1,46178,https://pes.edu/
2022,Sapthagiri College of Engineering,CSE,GM,3,60562,https://sapthagiri.edu.in/
2021,Global Academy of Technology,CSE,3B,3,84720,https://gat.ac.in/
2024,T John Institute of Technology,EEE,3A,3,133037,https://tjohncollege.edu.in/
2022,PES University,ECE,GM,2,2917,https://pes.edu/
2021,Global Academy of Technology,CSE,3A,2,78975,https://gat.ac.in/
2023,Vemana Institute of Technology,ISE,3A,1,98132,https://vemanait.edu.in/
2022,Siddaganga Institute,ISE,2A,1,19361,https://sit.ac.in/
2023,RVCE,ISE,3B,1,647,https://www.rvce.edu.in
2023,PES University,CSE,ST,1,4023,https://pes.edu/
2023,Dayananda Sagar Academy,EEE,3B,3,145979,https://dsacademy.edu.in/
2022,Global Academy of Technology,MECH,3B,2,96784,https://gat.ac.in/
2021,UVCE,EEE,2B,1,13362,https://uvce.ac.in/
2024,AMC Engineering College,ISE,1,2,108375,https://amc.edu.in/
2024,Oxford College of Engineering,EEE,2A,1,66825,https://oxford.edu.in/
2023,Sapthagiri College of Engineering,MECH,2A,2,74260,https://sapthagiri.edu.in/
2021,Vidya Jyothi Institute,CSE,2B,2,105264,https://vji.ac.in/
2024,Acharya Institute of Technology,CSE,3B,3,53477,https://acharya.ac.in/
2022,Oxford College of Engineering,ECE,3B,2,71862,https://oxford.edu.in/
2024,CMR University School of Engineering,MECH,GM,1,87748,https://cmr.edu.in/
2021,New Horizon College of Engineering,CSE,ST,1,54473,https://newhorizon.edu.in/
2022,Reva University,ECE,SC,3,82719,https://reva.edu.in/
2024,East Point College of Engineering,CSE,SC,2,88007,https://epce.edu.in/
2021,BNMIT,ISE,2B,1,33554,https://bnmit.org/
2022,MSRIT,ISE,2A,1,7391,https://www.msrit.edu/
2024,Alliance University,ECE,SC,3,130237,https://alliance.edu.in/
2021,Sapthagiri College of Engineering,MECH,2B,2,76349,https://sapthagiri.edu.in/
2021,RNSIT,CSE,3B,2,32257,https://rnsit.ac.in/
2023,MS Engineering College,MECH,2A,2,111641,https://msengineering.edu.in/
2021,Siddaganga Institute,MECH,2A,2,22507,https://sit.ac.in/
2023,BIT Bangalore,ISE,1,2,20694,https://bit-bangalore.edu.in/
2021,Sri Siddhartha Institute,EEE,2A,3,99169,https://ssit.edu.in/
2022,AIT Chikmagalur,MECH,2A,3,115253,https://aitchikmagalur.edu.in/
2023,Presidency University,EEE,ST,1,123097,https://presidencyuniversity.in/
2021,PESIT South,ISE,2B,3,47190,https://pes.edu/
2023,MVJ College of Engineering,ISE,3B,2,57328,https://mvjce.edu.in/
2021,Bangalore Institute of Technology North Campus,EEE,3B,2,137395,https://bit.edu.in/
2022,KLE Tech Hubli,ECE,ST,2,85786,https://kletech.ac.in/
2024,Vemana Institute of Technology,ISE,3B,2,108386,https://vemanait.edu.in/
2023,Global Academy of Technology,ISE,ST,3,117036,https://gat.ac.in/
2023,PESIT South,ECE,ST,1,66883,https://pes.edu/
2021,PES University,ISE,ST,3,4845,https://pes.edu/
2023,Adichunchanagiri Institute,ISE,2A,1,87441,https://acoe.edu.in/
2024,T John Institute of Technology,EEE,2A,2,115145,https://tjohncollege.edu.in/
2021,PESIT RR,EEE,3A,1,36052,https://pes.edu/
2024,Dayananda Sagar Academy,MECH,2A,1,116950,https://dsacademy.edu.in/
2023,PES University,CSE,1,2,2767,https://pes.edu/
2022,Reva University,MECH,3B,1,65593,https://reva.edu.in/
2023,BMSCE,EEE,3B,2,7096,https://www.bmsce.ac.in/
2024,Oxford College of Engineering,EEE,3A,1,67103,https://oxford.edu.in/
2022,UVCE,ISE,1,2,12068,https://uvce.ac.in/
2021,Vidyavardhaka College,CSE,3A,1,67684,https://vvc.ac.in/
2024,MS Engineering College,ISE,2B,3,111180,https://msengineering.edu.in/
2023,BMSCE,ECE,ST,1,8029,https://www.bmsce.ac.in/
2024,Sir MVIT,MECH,2A,1,40964,https://sir-mvit.ac.in/
2024,DSCE,ISE,1,1,22478,https://www.dsce.edu.in/
2021,Bangalore Institute of Technology North Campus,CSE,3A,1,110824,https://bit.edu.in/
2022,Vidya Vikas Institute,ECE,2A,2,75237,https://vvit.ac.in/
2024,JSSATE Bangalore,ECE,3B,2,42447,https://jssateb.ac.in/
2021,Siddaganga Institute,CSE,1,1,16612,https://sit.ac.in/
2023,CMRIT,ECE,2B,1,53339,https://cmrit.ac.in/
2021,Vemana Institute of Technology,CSE,2A,3,94496,https://vemanait.edu.in/
2022,MIT Manipal,MECH,2A,2,11919,https://manipal.edu/
2021,MS Engineering College,MECH,ST,2,160488,https://msengineering.edu.in/
2024,PESIT RR,CSE,1,2,29507,https://pes.edu/
2022,MSRIT,CSE,1,3,7422,https://www.msrit.edu/
2024,Alliance University,CSE,2B,3,85374,https://alliance.edu.in/
2024,BNMIT,ECE,3A,2,39268,https://bnmit.org/
2024,DSCE,CSE,SC,1,31491,https://www.dsce.edu.in/
2022,AIT Chikmagalur,ISE,GM,2,86007,https://aitchikmagalur.edu.in/
2024,JSSATE Bangalore,CSE,2B,2,36730,https://jssateb.ac.in/
2021,BMSCE,CSE,2A,2,5135,https://www.bmsce.ac.in/
2024,Canara Engineering College,ECE,3A,2,79954,https://canaraengineering.in/
2023,Oxford College of Engineering,EEE,SC,1,87475,https://oxford.edu.in/
2024,Vidyavardhaka College,ISE,3B,3,86727,https://vvc.ac.in/
2022,MIT Manipal,MECH,2A,1,11053,https://manipal.edu/
2021,KSIT,CSE,1,3,54039,https://ksit.edu.in/
2024,Presidency University,EEE,SC,1,114383,https://presidencyuniversity.in/
2024,RVCE,ISE,3B,1,637,https://www.rvce.edu.in
2021,Alliance University,MECH,2B,2,100859,https://alliance.edu.in/
2024,Presidency University,EEE,3A,1,89031,https://presidencyuniversity.in/
2023,T John Institute of Technology,ECE,ST,3,168832,https://tjohncollege.edu.in/
2022,KLE Tech Hubli,MECH,2A,2,63034,https://kletech.ac.in/
2023,Sir MVIT,EEE,SC,1,58175,https://sir-mvit.ac.in/
2023,Vidya Jyothi Institute,CSE,3A,3,106710,https://vji.ac.in/
2023,Acharya Institute of Technology,ECE,ST,3,74556,https://acharya.ac.in/
2021,DSCE,MECH,GM,2,26502,https://www.dsce.edu.in/
2022,Alliance University,MECH,2A,2,97941,https://alliance.edu.in/
2024,JSSATE Bangalore,EEE,3A,1,43753,https://jssateb.ac.in/
2022,Sri Siddhartha Institute,CSE,2B,1,86159,https://ssit.edu.in/
2024,Vidya Vikas Institute,CSE,1,3,68742,https://vvit.ac.in/
2022,New Horizon College of Engineering,MECH,3A,3,52887,https://newhorizon.edu.in/
2024,Acharya Institute of Technology,MECH,ST,1,77566,https://acharya.ac.in/
2021,BMSCE,ISE,3B,2,6038,https://www.bmsce.ac.in/
2022,JSS Science & Technology,ISE,GM,3,108147,https://jssstuniv.in/
2021,Dayananda Sagar Academy,MECH,SC,1,166632,https://dsacademy.edu.in/
2023,PESIT RR,MECH,GM,3,34471,https://pes.edu/
2023,Dayananda Sagar Academy,ECE,2A,1,111152,https://dsacademy.edu.in/
2024,AIT Chikmagalur,EEE,ST,3,164522,https://aitchikmagalur.edu.in/
2024,Vidyavardhaka College,ECE,2A,2,72453,https://vvc.ac.in/
2022,T John Institute of Technology,CSE,2A,2,106789,https://tjohncollege.edu.in/
2023,CMR University School of Engineering,CSE,3B,3,101563,https://cmr.edu.in/
2021,BIT Bangalore,ISE,2B,2,22378,https://bit-bangalore.edu.in/
2024,JSSATE Bangalore,EEE,3A,3,45544,https://jssateb.ac.in/
2023,Canara Engineering College,ISE,GM,1,61481,https://canaraengineering.in/
2024,KSIT,EEE,GM,2,57080,https://ksit.edu.in/
2024,T John Institute of Technology,CSE,3A,2,118486,https://tjohncollege.edu.in/
2021,NIE Mysore,ISE,GM,3,17090,https://nie.ac.in/
2023,Vidyavardhaka College,ECE,2A,2,76748,https://vvc.ac.in/
2023,Reva University,CSE,SC,1,68989,https://reva.edu.in/
2021,Sir MVIT,EEE,3A,1,47069,https://sir-mvit.ac.in/
2022,KSSEM Bangalore,CSE,1,3,73170,https://kssem.edu.in/
2021,BIT Bangalore,ECE,1,1,20717,https://bit-bangalore.edu.in/
2021,MVJ College of Engineering,ISE,3B,3,62146,https://mvjce.edu.in/
2024,JSS Science & Technology,CSE,GM,3,109409,https://jssstuniv.in/
2022,PESIT South,MECH,3A,2,53427,https://pes.edu/
2022,KLE Tech Hubli,EEE,SC,3,89240,https://kletech.ac.in/
2022,AMC Engineering College,ISE,2B,1,108582,https://amc.edu.in/
2023,Dayananda Sagar Academy,ECE,2B,3,129016,https://dsacademy.edu.in/
2022,BMSCE,EEE,ST,3,9374,https://www.bmsce.ac.in/
2021,Sri Siddhartha Institute,CSE,3B,1,92863,https://ssit.edu.in/
2021,KSIT,ISE,GM,2,52350,https://ksit.edu.in/
2024,PES University,EEE,1,3,3280,https://pes.edu/
2021,BMSIT Bangalore,MECH,3A,2,35523,https://bmsit.ac.in/
2023,PESIT RR,MECH,1,2,36441,https://pes.edu/
2022,Reva University,MECH,GM,3,61331,https://reva.edu.in/
2021,Oxford College of Engineering,ECE,GM,3,58661,https://oxford.edu.in/
2022,KSSEM Bangalore,ECE,ST,3,126686,https://kssem.edu.in/
2023,Sri Venkateshwara College of Engineering,MECH,2B,3,105764,https://svce.edu.in/
2024,BIT Bangalore,ECE,3B,3,29131,https://bit-bangalore.edu.in/
2024,New Horizon College of Engineering,ISE,3A,1,44976,https://newhorizon.edu.in/
2024,MSRIT,CSE,1,1,7076,https://www.msrit.edu/
2022,Vidya Vikas Institute,ISE,1,1,66434,https://vvit.ac.in/
